Sample,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
87,-131021,-8388608,5325412,6110383,-1054396,-7624485,464976,1031029
88,-130882,-8388608,5325481,6110171,-1054214,-7624674,465050,1030937
89,-130932,-8388608,5325557,6109992,-1053991,-7624627,465178,1031142
90,-131255,-8388608,5325593,6109831,-1053729,-7624489,465336,1031689
91,-131596,-8388608,5325549,6109650,-1053507,-7624519,465587,1032396
92,-131852,-8388608,5325567,6109513,-1053295,-7624532,465853,1032965
93,-132127,-8388608,5325590,6109329,-1053071,-7624226,466026,1033462
94,-132249,-8388608,5325489,6109059,-1052797,-7623879,466048,1033547
95,-132286,-8388608,5325355,6108799,-1052586,-7623813,466096,1033615
96,-132251,-8388608,5325300,6108574,-1052387,-7623931,466133,1033653
97,-132239,-8388608,5325161,6108314,-1052161,-7623903,466150,1033646
98,-132219,-8388608,5325038,6108031,-1051914,-7623882,466206,1033632
99,-132078,-8388608,5324911,6107763,-1051709,-7623970,466229,1033470
100,-131821,-8388608,5324770,6107527,-1051461,-7624069,466161,1033018
101,-131543,-8388608,5324577,6107259,-1051268,-7624261,466076,1032495
102,-131206,-8388608,5324427,6106977,-1051067,-7624473,465994,1031966
103,-130780,-8388608,5324281,6106733,-1050892,-7624726,465883,1031349
104,-130559,-8388608,5324169,6106527,-1050741,-7624885,465879,1031108
105,-130504,-8388608,5324092,6106351,-1050559,-7624977,465906,1031104
106,-130732,-8388608,5324033,6106190,-1050351,-7624903,466056,1031526
107,-131075,-8388608,5323928,6106023,-1050147,-7624788,466262,1032185
108,-131361,-8388608,5323802,6105924,-1049980,-7624765,466423,1032759
109,-131642,-8388608,5323679,6105826,-1049822,-7624616,466569,1033238
110,-131930,-8388608,5323551,6105701,-1049651,-7624309,466674,1033654
111,-132047,-8388608,5323371,6105601,-1049543,-7624128,466736,1033878
112,-132053,-8388608,5323153,6105476,-1049446,-7624027,466714,1033873
113,-132053,-8388608,5323010,6105369,-1049368,-7623965,466709,1033878
114,-132038,-8388608,5322857,6105267,-1049357,-7623871,466694,1033849
115,-132019,-8388608,5322687,6105201,-1049339,-7623847,466645,1033776
116,-131827,-8388608,5322500,6105113,-1049314,-7623918,466579,1033418
117,-131648,-8388608,5322325,6105055,-1049284,-7624069,466488,1033054
118,-131422,-8388608,5322153,6104954,-1049284,-7624284,466329,1032554
119,-131066,-8388608,5321963,6104893,-1049317,-7624641,466126,1031943
120,-130752,-8388608,5321771,6104794,-1049351,-7624923,465965,1031399
121,-130548,-8388608,5321624,6104723,-1049370,-7624949,465906,1031134
122,-130570,-8388608,5321476,6104645,-1049384,-7624898,465949,1031216
123,-130917,-8388608,5321346,6104639,-1049366,-7624894,466102,1031817
124,-131292,-8388608,5321224,6104649,-1049339,-7624851,466258,1032439
125,-131580,-8388608,5321099,6104670,-1049331,-7624646,466346,1032914
126,-131909,-8388608,5320989,6104686,-1049345,-7624379,466407,1033430
127,-132158,-8388608,5320856,6104670,-1049353,-7624325,466466,1033834
128,-132231,-8388608,5320731,6104663,-1049396,-7624531,466508,1033923
129,-132246,-8388608,5320583,6104667,-1049483,-7624717,466481,1033965
130,-132207,-8388608,5320437,6104650,-1049552,-7624908,466451,1033934
131,-132209,-8388608,5320295,6104631,-1049660,-7625185,466484,1034014
132,-132155,-8388608,5320157,6104609,-1049789,-7625499,466514,1033978
133,-131942,-8388608,5319999,6104563,-1049908,-7625607,466352,1033499
134,-131695,-8388608,5319847,6104476,-1050001,-7625554,466131,1032901
135,-131351,-8388608,5319696,6104411,-1050147,-7625374,465908,1032244
136,-130997,-8388608,5319473,6104364,-1050326,-7625491,465708,1031594
137,-130796,-8388608,5319335,6104312,-1050461,-7625731,465633,1031204
138,-131909,-8388608,5320989,6104686,-1049345,-7624379,466407,1033430
139,-132158,-8388608,5320856,6104670,-1049353,-7624325,466466,1033834
140,-132231,-8388608,5320731,6104663,-1049396,-7624531,466508,1033923
141,-132246,-8388608,5320583,6104667,-1049483,-7624717,466481,1033965
142,-132207,-8388608,5320437,6104650,-1049552,-7624908,466451,1033934
143,-132209,-8388608,5320295,6104631,-1049660,-7625185,466484,1034014
144,-132155,-8388608,5320157,6104609,-1049789,-7625499,466514,1033978
145,-131942,-8388608,5319999,6104563,-1049908,-7625607,466352,1033499
146,-131695,-8388608,5319847,6104476,-1050001,-7625554,466131,1032901
147,-131351,-8388608,5319696,6104411,-1050147,-7625374,465908,1032244
148,-130997,-8388608,5319473,6104364,-1050326,-7625491,465708,1031594
149,-130796,-8388608,5319335,6104312,-1050461,-7625731,465633,1031204
150,-130686,-8388608,5319260,6104299,-1050621,-7625816,465583,1031018
151,-130789,-8388608,5319202,6104294,-1050745,-7625697,465592,1031216
152,-131107,-8388608,5319184,6104316,-1050824,-7625259,465656,1031626
153,-131444,-8388608,5319023,6104317,-1050937,-7625153,465786,1032176
154,-131782,-8388608,5318923,6104323,-1051073,-7624996,466006,1032827
155,-132104,-8388608,5318875,6104332,-1051180,-7624499,466152,1033311
156,-132227,-8388608,5318770,6104314,-1051279,-7624255,466171,1033399
157,-132221,-8388608,5318638,6104306,-1051391,-7624197,466087,1033336
158,-132233,-8388608,5318515,6104276,-1051517,-7624420,466121,1033468
159,-132253,-8388608,5318465,6104251,-1051619,-7624609,466224,1033572
160,-132214,-8388608,5318383,6104200,-1051684,-7624707,466195,1033448
161,-132077,-8388608,5318181,6104077,-1051784,-7625084,466202,1033435
162,-131803,-8388608,5318094,6103946,-1051909,-7625586,466284,1033324
163,-131474,-8388608,5318086,6103857,-1051996,-7625857,466191,1032823
164,-131141,-8388608,5318088,6103741,-1052001,-7625672,465854,1031895
165,-130712,-8388608,5317885,6103528,-1052005,-7625655,465577,1031012
166,-130487,-8388608,5317792,6103404,-1052059,-7626155,465668,1030981
167,-130438,-8388608,5317856,6103312,-1052067,-7626474,465784,1031089
168,-130569,-8388608,5317971,6103221,-1051974,-7626308,465836,1031289
169,-130898,-8388608,5318069,6103105,-1051849,-7625847,465883,1031634
170,-131178,-8388608,5318031,6102953,-1051653,-7624987,465796,1031731
171,-131512,-8388608,5317923,6102804,-1051537,-7624310,465900,1032287
172,-131737,-8388608,5317871,6102714,-1051442,-7624039,466158,1032901
173,-131775,-8388608,5317919,6102528,-1051360,-7624176,466352,1033245
174,-131723,-8388608,5317988,6102354,-1051288,-7624274,466454,1033319
175,-131633,-8388608,5318054,6102179,-1051173,-7624352,466581,1033393
176,-131572,-8388608,5318071,6101999,-1051084,-7624336,466641,1033401
177,-131494,-8388608,5318104,6101794,-1050956,-7624326,466611,1033314
178,-131269,-8388608,5318114,6101604,-1050841,-7624379,466468,1032964
179,-130571,-8388608,5318185,6101229,-1050621,-7624762,466273,1032141
180,-130091,-8388608,5318189,6101021,-1050531,-7624937,466126,1031479
181,-129691,-8388608,5318106,6100813,-1050461,-7625328,466046,1031018
182,-129459,-8388608,5318172,6100582,-1050318,-7625647,466086,1030914
183,-129442,-8388608,5318274,6100329,-1050146,-7625730,466163,1031019
184,-129670,-8388608,5318351,6100105,-1049962,-7625598,466338,1031515
185,-129944,-8388608,5318439,6099894,-1049738,-7625371,466521,1032059
186,-130198,-8388608,5318454,6099682,-1049518,-7625184,466718,1032550
187,-130468,-8388608,5318508,6099474,-1049301,-7624931,466901,1033140
188,-130642,-8388608,5318513,6099288,-1049048,-7624709,467067,1033601
189,-130602,-8388608,5318479,6099074,-1048852,-7624646,467160,1033695
190,-130517,-8388608,5318462,6098821,-1048632,-7624576,467158,1033546
191,-130439,-8388608,5318393,6098594,-1048378,-7624287,467061,1033350
192,-130422,-8388608,5318285,6098396,-1048178,-7624359,467090,1033444
193,-130289,-8388608,5318223,6098156,-1047972,-7624529,467156,1033398
194,-130023,-8388608,5318168,6097898,-1047769,-7624727,467109,1032990
195,-129712,-8388608,5318061,6097661,-1047444,-7624961,467052,1032538
196,-129367,-8388608,5317916,6097336,-1047158,-7625159,466946,1031934
197,-128891,-8388608,5317784,6097028,-1046950,-7625421,466824,1031199
198,-128551,-8388608,5317674,6096773,-1046711,-7625610,466775,1030753
199,-128379,-8388608,5317538,6096527,-1046506,-7625651,466753,1030553
