Sample,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
7879,-125461,-1033222,8388607,6038447,-970026,-6531007,501228,834194
7880,-125980,-1033715,8388607,6038413,-970187,-6531879,500833,834081
7881,-126411,-1033979,8388607,6038344,-970485,-6532657,500386,833866
7882,-119214,-1030186,8388607,6040251,-969166,-6533321,502372,833996
7883,-120013,-1030437,8388607,6039935,-969382,-6532754,502276,833783
7884,-120867,-1030635,8388607,6039501,-969620,-6531422,501979,833554
7885,-121725,-1030946,8388607,6039204,-969655,-6530541,501698,833601
7886,-122663,-1031482,8388607,6038989,-969676,-6530318,501529,833754
7887,-123606,-1032122,8388607,6038803,-969697,-6530313,501428,833918
7888,-124438,-1032672,8388607,6038658,-969775,-6530513,501434,834199
7889,-124987,-1032813,8388607,6038549,-969946,-6530619,501444,834332
7890,-125461,-1033222,8388607,6038447,-970026,-6531007,501228,834194
7891,-125980,-1033715,8388607,6038413,-970187,-6531879,500833,834081
7892,-126411,-1033979,8388607,6038344,-970485,-6532657,500386,833866
7893,-126906,-1034066,8388607,6038362,-970830,-6533137,499940,833495
7894,-127448,-1034071,8388607,6038500,-971051,-6533773,499706,833195
7895,-127828,-1034102,8388607,6038458,-971381,-6534241,499736,832921
7896,-128144,-1034277,8388607,6038223,-971681,-6534408,499885,832604
7897,-128423,-1034268,8388607,6038117,-971792,-6534811,499994,832295
7898,-128676,-1034220,8388607,6038105,-971684,-6535459,500177,832239
7899,-128937,-1034104,8388607,6038016,-971536,-6536326,500343,832519
7900,-129281,-1033897,8388607,6037997,-971591,-6537028,500416,833037
7901,-129823,-1033681,8388607,6038053,-971751,-6537424,500300,833476
7902,-130525,-1033431,8388607,6038046,-972001,-6537223,499948,833521
7903,-131291,-1033219,8388607,6037966,-972109,-6537373,499603,833473
7904,-132083,-1032989,8388607,6037897,-972069,-6538077,499576,833646
7905,-132743,-1032746,8388607,6037858,-971957,-6539016,499981,834172
7906,-133214,-1032372,8388607,6037829,-971996,-6539466,500403,834651
7907,-133611,-1031947,8388607,6037812,-972127,-6539617,500493,834758
7908,-133934,-1031601,8388607,6037759,-972398,-6539411,500143,834388
7909,-134232,-1031366,8388607,6037615,-972619,-6538861,499606,833748
7910,-134434,-1030997,8388607,6037460,-972675,-6538236,499084,833001
7911,-134620,-1030669,8388607,6037303,-972558,-6537916,498698,832294
7912,-134624,-1030240,8388607,6037109,-972417,-6538086,498212,831716
7913,-134600,-1029764,8388607,6036916,-972339,-6538966,497610,831348
7914,-134534,-1029124,8388607,6036983,-972299,-6539993,497116,830970
7915,-134602,-1028394,8388607,6037293,-972269,-6541039,496919,830807
7916,-134756,-1027742,8388607,6037508,-972402,-6542152,497143,830935
7917,-135076,-1027063,8388607,6037463,-972756,-6542467,497608,831089
7918,-135484,-1026371,8388607,6037296,-972758,-6542826,498373,831769
7919,-135785,-1025654,8388607,6036922,-972455,-6543427,499059,832550
7920,-136064,-1024952,8388607,6036774,-972188,-6544221,499469,833270
7921,-136373,-1024301,8388607,6036744,-972227,-6545590,499661,834109
7922,-136464,-1023452,8388607,6036697,-972476,-6546490,499501,834416
7923,-136401,-1022411,8388607,6036788,-972734,-6546961,499231,834254
7924,-136326,-1021321,8388607,6037010,-972956,-6547799,498739,834158
7925,-136122,-1020075,8388607,6037254,-973207,-6549124,498219,834231
7926,-135892,-1018732,8388607,6037426,-973376,-6550401,498014,834292
7927,-135747,-1017491,8388607,6037469,-973517,-6551411,498155,834291
7928,-135822,-1016349,8388607,6037318,-973623,-6551557,498451,834008
7929,-135945,-1015365,8388607,6037162,-973757,-6551326,498599,833364
7930,-136599,-1013774,8388607,6037034,-973964,-6551098,497962,831621
7931,-136867,-1012880,8388607,6036811,-974127,-6551011,497659,831230
7932,-137212,-1012077,8388607,6036424,-974401,-6550882,497188,830977
7933,-137644,-1011284,8388607,6036395,-974484,-6551421,496881,831163
7934,-137990,-1010460,8388607,6036708,-974557,-6553019,496871,831953
7935,-138517,-1009723,8388607,6036823,-974831,-6554541,497065,832791
7936,-139350,-1009224,8388607,6036546,-975168,-6555080,497076,833029
7937,-140207,-1008926,8388607,6036154,-975435,-6554661,496876,832743
7938,-140945,-1008524,8388607,6035981,-975621,-6553740,496623,832134
7939,-141609,-1008076,8388607,6035848,-975646,-6553130,496330,831549
7940,-142299,-1007651,8388607,6035583,-975658,-6552817,496063,831069
7941,-142795,-1007176,8388607,6035282,-975674,-6552577,495741,830587
7942,-143061,-1006779,8388607,6035209,-975701,-6552790,495539,830323
7943,-143307,-1006710,8388607,6035039,-975643,-6552854,495416,830046
7944,-143569,-1006569,8388607,6034673,-975414,-6553343,495548,829992
7945,-143832,-1006301,8388607,6034271,-975224,-6554085,495576,829958
7946,-144096,-1005962,8388607,6034111,-975262,-6554722,495320,829619
7947,-144422,-1005530,8388607,6033992,-975434,-6555177,494968,829301
7948,-144692,-1005093,8388607,6033819,-975699,-6555474,494478,829275
7949,-145094,-1004752,8388607,6033711,-975795,-6556091,494193,829436
7950,-145806,-1004640,8388607,6033539,-976033,-6556502,494010,829766
7951,-146710,-1004513,8388607,6033423,-976356,-6556148,493958,829953
7952,-147717,-1004282,8388607,6033352,-976471,-6555938,493994,829993
7953,-148789,-1004207,8388607,6033125,-976483,-6555850,494048,829939
7954,-149677,-1004119,8388607,6032805,-976435,-6555699,494224,829878
7955,-150367,-1003986,8388607,6032523,-976389,-6555514,494496,829843
7956,-151032,-1003858,8388607,6032218,-976361,-6554812,494490,829501
7957,-151739,-1003816,8388607,6032032,-976273,-6555119,494204,829163
7958,-152282,-1004351,8388607,6032024,-976385,-6556041,493974,829122
7959,-152471,-1007547,8388607,6031933,-976709,-6556354,493856,829052
7960,-152814,-1008796,8388607,6031786,-976972,-6556514,493616,828808
7961,-153274,-1008733,8388607,6031505,-977264,-6556351,493224,828208
7962,-153801,-1008609,8388607,6031153,-977477,-6555798,492574,827277
7963,-154272,-1008454,8388607,6030892,-977385,-6556356,492311,826802
7964,-154802,-1008299,8388607,6030714,-977302,-6557291,492345,826866
7965,-155429,-1008165,8388607,6030601,-977362,-6557862,492387,827174
7966,-156047,-1008039,8388607,6030483,-977517,-6558423,492601,827745
7967,-156715,-1007899,8388607,6030368,-977729,-6558826,492843,828576
7968,-157289,-1007691,8388607,6030312,-977954,-6559038,492598,828858
7969,-157815,-1007918,8388607,6030309,-978072,-6559651,492334,829241
7970,-158336,-1008585,8388607,6030300,-978193,-6560086,492149,829514
7971,-158826,-1009036,8388607,6030272,-978413,-6560047,491929,829216
7972,-159360,-1009216,8388607,6030226,-978419,-6560432,492066,829147
7973,-159936,-1009219,8388607,6030164,-978206,-6561424,492529,829529
7974,-160487,-1009085,8388607,6030142,-978070,-6562491,492933,829865
7975,-160979,-1008930,8388607,6030189,-978052,-6563622,493306,830275
7976,-161402,-1008731,8388607,6030099,-978283,-6564044,493378,830203
7977,-161751,-1008580,8388607,6029914,-978596,-6563858,493088,829496
7978,-162139,-1008422,8388607,6029703,-978752,-6563788,492717,828868
7979,-162391,-1008174,8388607,6029547,-978832,-6563936,492495,828591
7980,-162486,-1007885,8388607,6029336,-978859,-6564313,492248,828317
7981,-162637,-1007587,8388607,6029165,-978956,-6564838,492105,828302
7982,-162851,-1007184,8388607,6029193,-979110,-6565378,491849,828364
7983,-163255,-1006722,8388607,6029244,-979264,-6566151,491526,828359
7984,-163880,-1006271,8388607,6029176,-979416,-6566554,491217,828344
7985,-164509,-1005722,8388607,6029144,-979397,-6567159,491097,828386
7986,-165148,-1005142,8388607,6029199,-979384,-6567821,491223,828696
7987,-165787,-1004668,8388607,6029093,-979517,-6567711,491310,828780
7988,-166309,-1004260,8388607,6028788,-979556,-6567157,491166,828333
7989,-166743,-1003921,8388607,6028488,-979449,-6567151,491038,827979
7990,-166991,-1003416,8388607,6028368,-979204,-6568082,491222,828486
7991,-167088,-1002751,8388607,6028428,-978989,-6569711,491703,829606
7992,-167205,-1002131,8388607,6028404,-979237,-6570536,491774,830083
7993,-167351,-1001506,8388607,6028288,-979695,-6570614,491509,829728
7994,-167486,-1000914,8388607,6028135,-979829,-6570959,491409,829244
7995,-167803,-1000229,8388607,6028035,-979989,-6571114,491171,828674
7996,-168085,-999441,8388607,6027826,-980172,-6570761,490616,827804
7997,-168044,-998659,8388607,6027689,-980128,-6571003,490372,827396
7998,-168045,-997890,8388607,6027629,-980147,-6571471,490193,827273
7999,-168311,-997188,8388607,6027498,-980386,-6571457,489575,826773
8000,-168821,-996645,8388607,6027174,-980574,-6571809,488849,826547
8001,-169675,-996196,8388607,6027319,-980572,-6573239,488524,827034
8002,-170682,-995659,8388607,6027935,-980553,-6575591,488785,828026
8003,-171626,-995129,8388607,6028443,-980640,-6578432,489326,829049
8004,-172288,-994564,8388607,6028717,-981084,-6580989,489918,829691
8005,-172824,-994056,8388607,6028391,-981311,-6581524,490618,829617
8006,-173370,-993635,8388607,6027790,-981092,-6581012,490959,829168
8007,-173916,-993314,8388607,6027396,-980929,-6580976,490582,828818
8008,-174404,-992934,8388607,6027207,-981083,-6581161,490416,828991
8009,-174854,-992517,8388607,6026962,-981511,-6580737,490183,828807
8010,-175252,-992099,8388607,6026553,-981974,-6579344,489628,827926
8011,-175694,-991674,8388607,6025984,-982354,-6577269,488936,826804
8012,-176160,-991249,8388607,6025393,-982462,-6575019,488189,825721
8013,-176576,-990946,8388607,6024861,-982141,-6574086,487654,824834
8014,-177026,-990736,8388607,6024631,-981824,-6574181,487429,824334
8015,-177585,-990866,8388607,6024611,-981748,-6574422,487192,824160
8016,-178171,-991312,8388607,6024505,-981731,-6574835,487010,824248
8017,-178852,-991956,8388607,6024288,-981797,-6575366,487036,824623
8018,-179527,-992316,8388607,6024083,-981803,-6575680,487251,824896
8019,-180243,-992477,8388607,6023903,-981719,-6575613,487448,825123
8020,-181023,-992602,8388607,6023784,-981526,-6576003,487614,825564
8021,-181687,-992607,8388607,6023653,-981502,-6576559,487671,825883
8022,-182180,-992581,8388607,6023524,-981442,-6577108,487631,826091
8023,-182581,-992529,8388607,6023488,-981422,-6577876,487639,826341
8024,-182887,-992497,8388607,6023401,-981552,-6578829,487439,826601
8025,-183237,-992575,8388607,6023323,-981629,-6579293,487209,826539
8026,-183660,-992672,8388607,6023306,-981556,-6579717,487200,826371
8027,-184216,-992854,8388607,6023205,-981469,-6580236,487306,826193
8028,-184712,-993108,8388607,6022914,-981459,-6580621,487286,825988
8029,-185022,-993316,8388607,6022635,-981554,-6580835,486956,825554
8030,-185272,-993294,8388607,6022579,-981507,-6580768,486487,824971
8031,-185619,-993189,8388607,6022616,-981409,-6580990,486098,824609
8032,-186037,-992996,8388607,6022513,-981555,-6581049,485749,824299
8033,-186654,-992825,8388607,6022206,-981796,-6580269,485408,823881
8034,-187442,-992607,8388607,6021873,-981850,-6579103,485300,823691
8035,-188185,-992389,8388607,6021598,-981722,-6577823,485209,823493
8036,-188872,-992179,8388607,6021446,-981357,-6577540,485229,823601
8037,-189533,-991954,8388607,6021351,-981000,-6578331,485395,824088
8038,-189919,-991544,8388607,6021333,-980947,-6579183,485548,824432
8039,-190282,-991093,8388607,6021296,-981018,-6579876,485609,824643
8040,-190697,-990682,8388607,6021361,-981035,-6580902,485587,824774
8041,-190921,-990164,8388607,6021676,-981113,-6582497,485498,825008
8042,-190967,-989557,8388607,6021848,-981305,-6583661,485543,825378
8043,-190946,-988974,8388607,6021797,-981257,-6583994,485508,825258
8044,-190971,-988552,8388607,6021713,-980997,-6584544,485470,825006
8045,-191118,-988197,8388607,6021692,-980897,-6585395,485423,824763
8046,-191326,-987731,8388607,6021625,-981032,-6585762,485132,824175
8047,-191604,-987184,8388607,6021354,-981353,-6585020,484731,823274
8048,-192062,-986659,8388607,6021000,-981579,-6583709,484330,822538
8049,-192583,-986158,8388607,6020694,-981475,-6583304,484104,822492
8050,-193057,-985656,8388607,6020569,-981201,-6584041,484295,823263
8051,-193560,-985078,8388607,6020666,-980966,-6585671,484665,824263
8052,-193991,-984387,8388607,6020804,-980962,-6586688,484786,824653
8053,-194519,-983670,8388607,6020792,-981237,-6586649,484698,824590
8054,-190946,-988974,8388607,6021797,-981257,-6583994,485508,825258
8055,-190971,-988552,8388607,6021713,-980997,-6584544,485470,825006
8056,-191118,-988197,8388607,6021692,-980897,-6585395,485423,824763
8057,-191326,-987731,8388607,6021625,-981032,-6585762,485132,824175
8058,-191604,-987184,8388607,6021354,-981353,-6585020,484731,823274
8059,-192062,-986659,8388607,6021000,-981579,-6583709,484330,822538
8060,-192583,-986158,8388607,6020694,-981475,-6583304,484104,822492
8061,-193057,-985656,8388607,6020569,-981201,-6584041,484295,823263
8062,-193560,-985078,8388607,6020666,-980966,-6585671,484665,824263
8063,-193991,-984387,8388607,6020804,-980962,-6586688,484786,824653
8064,-194519,-983670,8388607,6020792,-981237,-6586649,484698,824590
8065,-195026,-982894,8388607,6020672,-981452,-6586234,484542,824399
8066,-195347,-982062,8388607,6020566,-981362,-6586225,484468,824453
8067,-195461,-981126,8388607,6020655,-980894,-6587847,484821,825212
8068,-195396,-980087,8388607,6020916,-980668,-6590386,485324,826249
8069,-195374,-978975,8388607,6021068,-981037,-6591684,485193,826396
8070,-195425,-977879,8388607,6021081,-981502,-6591865,484824,825866
8071,-195548,-976869,8388607,6020969,-981847,-6591494,484366,825123
8072,-195692,-975977,8388607,6020748,-982104,-6590850,483856,824311
8073,-195811,-975137,8388607,6020557,-982431,-6590584,483436,823680
8074,-195854,-974267,8388607,6020364,-982684,-6590308,483028,822944
8075,-195969,-973391,8388607,6020199,-982809,-6590340,482703,822492
8076,-196201,-972511,8388607,6020076,-982954,-6590807,482266,822213
8077,-196421,-971627,8388607,6019955,-983158,-6591542,481834,822247
8078,-196757,-970809,8388607,6019923,-983381,-6592224,481552,822583
8079,-197104,-969986,8388607,6020113,-983479,-6593314,481625,823252
8080,-197947,-968402,8388607,6020387,-984139,-6595456,481818,824325
8081,-198461,-967631,8388607,6020399,-984375,-6595364,481921,824231
8082,-198948,-966987,8388607,6020204,-984455,-6595023,481903,823689
8083,-199447,-966458,8388607,6019907,-984365,-6594899,481938,823301
8084,-199977,-965951,8388607,6019796,-984182,-6595151,482079,823279
8085,-200286,-965430,8388607,6019943,-984134,-6596549,482391,823821
8086,-200576,-964927,8388607,6019914,-984369,-6597354,482473,823910
8087,-200844,-964436,8388607,6019795,-984559,-6597820,482367,823469
8088,-201027,-963832,8388607,6019621,-984691,-6597917,482333,822955
8089,-201210,-963180,8388607,6019405,-984871,-6597343,481979,822051
8090,-201497,-962640,8388607,6019128,-984840,-6597379,481847,821489
8091,-201940,-962106,8388607,6018904,-984807,-6597856,481884,821514
8092,-202409,-961451,8388607,6018841,-984878,-6598279,481919,821672
8093,-202996,-960756,8388607,6018735,-985114,-6597996,481663,821677
8094,-203674,-960089,8388607,6018482,-985196,-6597396,481290,821701
8095,-204242,-959492,8388607,6018373,-985124,-6597801,481250,822034
8096,-204817,-958938,8388607,6018313,-985234,-6598409,481374,822553
8097,-205480,-958348,8388607,6018026,-985321,-6597926,481499,822972
8098,-206039,-957820,8388607,6017676,-985250,-6597349,481543,823143
8099,-206507,-957314,8388607,6017363,-985192,-6596812,481435,823044
8100,-206844,-956804,8388607,6017107,-985109,-6596442,481376,823075
8101,-207166,-956201,8388607,6016917,-985009,-6596299,481406,823248
8102,-207442,-955580,8388607,6016641,-985019,-6596086,481121,823051
8103,-207792,-954967,8388607,6016459,-985044,-6596162,480696,822579
8104,-208264,-954344,8388607,6016431,-985091,-6596257,480214,821739
8105,-208666,-953747,8388607,6016404,-985179,-6596676,479882,821056
8106,-208926,-953074,8388607,6016267,-985359,-6597100,479761,820503
8107,-209229,-952472,8388607,6016075,-985487,-6597350,479608,819865
8108,-209674,-951936,8388607,6015876,-985532,-6597322,479396,819323
8109,-210171,-951424,8388607,6015689,-985557,-6597067,479181,819147
8110,-210682,-950896,8388607,6015550,-985447,-6596871,479028,819341
8111,-211282,-950409,8388607,6015506,-985157,-6597452,478975,819816
8112,-211870,-949912,8388607,6015443,-985075,-6597644,478801,819968
8113,-212484,-949391,8388607,6015335,-985112,-6597249,478552,819928
8114,-213056,-948888,8388607,6015274,-984964,-6597651,478531,820200
8115,-213522,-948451,8388607,6015313,-984663,-6598839,478774,820559
8116,-213904,-947969,8388607,6015341,-984413,-6600009,479009,820877
8117,-214157,-947452,8388607,6015389,-984224,-6601109,479184,821199
8118,-214384,-946874,8388607,6015448,-984086,-6602342,479328,821514
8119,-214528,-946242,8388607,6015411,-984130,-6602890,479319,821476
8120,-214683,-945641,8388607,6015273,-984323,-6602591,479024,820969
8121,-214753,-945003,8388607,6015117,-984476,-6601992,478621,820131
8122,-214833,-944431,8388607,6014939,-984552,-6601656,477954,819093
8123,-214960,-943928,8388607,6014767,-984585,-6601487,477167,817968
8124,-215137,-943393,8388607,6014648,-984535,-6601566,476692,817347
8125,-215397,-942829,8388607,6014632,-984322,-6602542,477036,817828
8126,-215717,-942284,8388607,6014604,-984187,-6603504,477525,818400
8127,-216218,-941699,8388607,6014563,-984087,-6604130,478021,819113
8128,-216606,-941112,8388607,6014597,-983909,-6605392,478408,819855
8129,-216749,-940384,8388607,6014791,-983804,-6607431,478468,820505
8130,-217004,-939631,8388607,6015016,-984015,-6608524,478331,820793
8131,-217443,-938877,8388607,6015026,-984457,-6608216,477921,820308
8132,-217899,-938141,8388607,6014742,-984832,-6607301,477456,819326
8133,-218357,-937314,8388607,6014351,-985272,-6605686,477020,818251
8134,-218684,-936407,8388607,6014109,-985140,-6604928,477293,818104
8135,-218680,-935475,8388607,6013899,-984866,-6605191,477481,818484
8136,-218586,-934534,8388607,6013906,-984688,-6605793,476933,818464
8137,-218428,-933552,8388607,6014185,-984649,-6606613,476081,817956
8138,-218317,-932549,8388607,6014366,-984793,-6607229,475214,817188
8139,-218349,-931549,8388607,6014684,-984842,-6608471,474772,816478
8140,-218386,-930551,8388607,6014961,-984861,-6610292,474974,816274
8141,-218638,-929701,8388607,6014796,-984677,-6611473,476126,816921
8142,-217443,-938877,8388607,6015026,-984457,-6608216,477921,820308
8143,-217899,-938141,8388607,6014742,-984832,-6607301,477456,819326
8144,-218357,-937314,8388607,6014351,-985272,-6605686,477020,818251
8145,-218684,-936407,8388607,6014109,-985140,-6604928,477293,818104
8146,-218680,-935475,8388607,6013899,-984866,-6605191,477481,818484
8147,-218586,-934534,8388607,6013906,-984688,-6605793,476933,818464
8148,-218428,-933552,8388607,6014185,-984649,-6606613,476081,817956
8149,-218317,-932549,8388607,6014366,-984793,-6607229,475214,817188
8150,-218349,-931549,8388607,6014684,-984842,-6608471,474772,816478
8151,-218386,-930551,8388607,6014961,-984861,-6610292,474974,816274
8152,-218638,-929701,8388607,6014796,-984677,-6611473,476126,816921
8153,-218979,-929011,8388607,6014413,-984311,-6612727,477414,818091
8154,-219336,-928278,8388607,6014326,-984191,-6613334,478158,819123
8155,-219802,-927408,8388607,6014588,-984472,-6613439,478112,819668
8156,-220257,-926508,8388607,6014577,-984994,-6612945,477496,819461
8157,-220726,-925584,8388607,6014279,-985459,-6612079,477036,819127
8158,-221117,-924657,8388607,6013911,-985693,-6611077,476949,818971
8159,-221473,-923786,8388607,6013521,-985767,-6609033,476775,818400
8160,-221846,-922988,8388607,6013198,-985631,-6607586,476503,817943
8161,-222131,-922189,8388607,6013003,-985402,-6607674,476404,817998
8162,-222306,-921352,8388607,6012917,-985382,-6607882,476151,817853
8163,-222497,-920542,8388607,6012870,-985318,-6608484,475936,817741
8164,-222617,-919764,8388607,6012909,-985204,-6609869,475688,817685
8165,-222762,-918927,8388607,6013100,-985180,-6611447,475559,817878
8166,-222844,-918088,8388607,6013291,-985114,-6612932,475693,818160
8167,-222914,-917322,8388607,6013341,-985167,-6613931,475795,818053
8168,-223033,-916641,8388607,6013173,-985398,-6613824,475678,817399
8169,-223352,-916068,8388607,6013091,-985637,-6613662,475411,816824
8170,-223931,-915566,8388607,6012936,-985773,-6614087,475260,816736
8171,-224442,-915026,8388607,6012776,-985838,-6615179,475082,817322
8172,-224824,-914482,8388607,6012738,-986069,-6616647,474440,817811
8173,-225357,-913982,8388607,6012932,-986447,-6616966,473769,817742
8174,-226200,-913628,8388607,6013107,-986693,-6616993,473490,817595
8175,-227196,-913307,8388607,6013108,-986747,-6617601,473752,817783
8176,-228050,-913012,8388607,6013124,-986724,-6618990,474573,818156
8177,-228744,-912654,8388607,6013057,-986765,-6619876,475544,818564
8178,-229371,-912222,8388607,6012641,-986731,-6619022,475973,818383
8179,-229873,-911902,8388607,6012131,-986607,-6618087,475664,817919
8180,-230394,-911669,8388607,6011811,-986617,-6617635,475043,817406
8181,-230902,-911324,8388607,6011533,-986839,-6616819,474468,816749
8182,-231321,-910895,8388607,6011224,-987066,-6616051,474333,816346
8183,-231654,-910429,8388607,6010908,-987196,-6615342,474261,815945
8184,-231895,-909873,8388607,6010473,-987397,-6614000,473835,815336
8185,-232159,-909336,8388607,6010078,-987470,-6612556,473178,814608
8186,-232531,-908845,8388607,6009996,-987071,-6612977,472801,814486
8187,-232882,-908312,8388607,6010341,-986754,-6615544,472752,815050
8188,-233316,-907711,8388607,6010573,-986999,-6617512,472879,815845
8189,-233759,-907108,8388607,6010446,-987252,-6618359,473238,816729
8190,-234136,-906552,8388607,6010159,-987458,-6618471,473263,817208
8191,-234665,-906046,8388607,6010079,-987570,-6618464,473121,817515
8192,-235214,-905491,8388607,6010067,-987664,-6618585,473101,817768
8193,-235675,-904885,8388607,6009953,-987837,-6618489,473129,817711
8194,-236137,-904256,8388607,6009839,-987822,-6618884,473227,817698
8195,-236472,-903614,8388607,6009598,-987885,-6618859,473203,817523
8196,-236713,-902946,8388607,6009508,-988032,-6618104,472891,817083
8197,-236789,-902301,8388607,6009476,-988097,-6617533,472338,816354
8198,-236923,-901626,8388607,6009338,-988140,-6617769,471866,815625
8199,-237187,-900985,8388607,6009215,-988347,-6618639,471611,815128
8200,-237276,-900352,8388607,6008982,-988658,-6618463,471412,814369
8201,-237406,-899756,8388607,6008746,-988835,-6617272,470881,813299
8202,-237625,-899182,8388607,6008686,-988672,-6617277,470454,812768
8203,-237836,-898602,8388607,6008728,-988642,-6618227,470374,812947
8204,-238143,-898050,8388607,6008744,-988848,-6618941,470426,813344
8205,-238495,-897368,8388607,6008646,-989180,-6619127,470519,813781
8206,-238956,-896759,8388607,6008364,-989524,-6617781,470145,813444
8207,-239497,-896286,8388607,6008099,-989574,-6616216,469657,813003
8208,-240048,-895941,8388607,6008053,-989052,-6617043,469925,813711
8209,-240351,-895498,8388607,6008183,-988521,-6619351,470486,814743
8210,-240503,-894942,8388607,6008243,-988689,-6620296,470610,814934
8211,-240794,-894364,8388607,6008086,-989046,-6619885,470213,814579
8212,-241162,-893884,8388607,6008062,-988922,-6620831,470113,814948
8213,-241258,-893248,8388607,6008526,-988578,-6623577,470536,816008
8214,-241268,-892567,8388607,6008991,-988631,-6626257,470660,816468
8215,-241321,-891910,8388607,6009156,-989134,-6627399,470394,815925
8216,-241563,-891323,8388607,6008921,-989828,-6626847,469679,814534
8217,-241958,-890822,8388607,6008605,-990287,-6625421,468916,812844
8218,-242466,-890410,8388607,6008225,-990437,-6623576,468212,811291
8219,-242995,-890017,8388607,6007896,-990428,-6622137,467745,810293
8220,-243405,-889569,8388607,6007534,-990391,-6620867,467411,809722
8221,-243986,-889134,8388607,6007157,-990347,-6619948,467214,809712
8222,-244595,-888641,8388607,6006740,-990402,-6618596,467041,809858
8223,-245121,-888124,8388607,6006303,-990429,-6616561,466556,809442
8224,-245637,-887687,8388607,6006127,-989829,-6616757,466946,810183
8225,-245777,-887087,8388607,6006496,-988751,-6621320,468633,812828
8226,-245553,-886267,8388607,6007288,-988178,-6628437,470659,816271
8227,-245269,-885279,8388607,6007968,-988796,-6633733,471893,818691
8228,-244996,-884203,8388607,6008267,-989741,-6635766,471977,819160
8229,-244871,-883172,8388607,6008304,-990444,-6635879,471601,818729
8230,-244782,-882142,8388607,6008213,-990951,-6635545,471405,818559
8231,-244542,-881114,8388607,6007938,-991405,-6635157,470649,817928
8232,-244524,-880137,8388607,6007843,-991791,-6634349,469338,816556
8233,-244657,-879149,8388607,6007989,-991969,-6634005,468346,815238
8234,-244777,-878124,8388607,6007926,-992115,-6633926,467823,813948
8235,-245061,-877140,8388607,6007546,-992240,-6633081,467856,812920
8236,-245466,-876217,8388607,6007238,-992119,-6631833,468127,812227
8237,-245906,-875314,8388607,6006942,-991795,-6630896,468109,811923
8238,-246373,-874467,8388607,6006769,-991587,-6630539,467633,811938
8239,-246810,-873591,8388607,6006953,-991514,-6630896,467238,812296
8240,-247177,-872660,8388607,6007206,-991551,-6632175,467155,812954
8241,-247524,-871820,8388607,6007356,-991670,-6633735,467504,813939
8242,-247631,-871031,8388607,6007688,-991774,-6635647,468153,814895
8243,-247486,-869969,8388607,6008180,-991885,-6638097,468813,815649
8244,-247391,-868900,8388607,6008163,-992137,-6638949,469344,816107
8245,-247401,-867987,8388607,6007719,-992293,-6638249,469409,816006
8246,-247517,-867217,8388607,6007347,-992266,-6637746,469035,815730
8247,-247721,-866320,8388607,6007230,-992262,-6637586,468636,815474
8248,-247766,-865232,8388607,6007405,-992268,-6638068,468276,815176
8249,-247699,-864171,8388607,6007625,-992411,-6639356,467596,814755
8250,-247763,-863049,8388607,6007631,-992804,-6639442,467059,814034
8251,-247804,-861892,8388607,6007428,-993027,-6638484,466674,812978
8252,-247709,-860644,8388607,6007259,-992789,-6638077,466934,812839
8253,-247615,-859441,8388607,6007134,-992650,-6638392,467228,813125
8254,-247679,-858177,8388607,6006974,-992764,-6638496,467134,813187
8255,-247947,-856827,8388607,6007008,-992976,-6637953,466779,813051
8256,-248147,-855283,8388607,6007151,-993004,-6637595,466389,812871
8257,-248457,-853776,8388607,6007105,-993108,-6637436,466133,812919
8258,-248729,-852232,8388607,6007081,-993194,-6637598,466064,813181
8259,-248669,-850496,8388607,6007150,-993102,-6637730,466177,813185
8260,-248403,-848646,8388607,6007201,-992962,-6637627,466023,812906
8261,-247950,-846823,8388607,6007176,-992898,-6638494,465473,812861
8262,-247609,-845002,8388607,6007351,-993132,-6639055,464695,812818
8263,-247307,-843140,8388607,6007804,-993419,-6639266,464208,812673
8264,-247020,-841334,8388607,6007979,-993644,-6639748,464138,812436
8265,-246745,-839572,8388607,6007851,-993944,-6639932,464277,811836
8266,-246465,-837822,8388607,6007708,-994107,-6639277,464348,811075
8267,-246114,-836096,8388607,6007644,-993996,-6638654,464293,810204
8268,-245842,-834482,8388607,6007644,-993898,-6638392,464024,809429
8269,-245809,-832987,8388607,6007641,-993877,-6638627,463763,809163
8270,-245861,-831478,8388607,6007646,-994047,-6638683,463324,808830
8271,-246055,-830104,8388607,6007594,-994233,-6638519,462759,808621
8272,-247950,-846823,8388607,6007176,-992898,-6638494,465473,812861
8273,-247609,-845002,8388607,6007351,-993132,-6639055,464695,812818
8274,-247307,-843140,8388607,6007804,-993419,-6639266,464208,812673
8275,-247020,-841334,8388607,6007979,-993644,-6639748,464138,812436
8276,-246745,-839572,8388607,6007851,-993944,-6639932,464277,811836
8277,-246465,-837822,8388607,6007708,-994107,-6639277,464348,811075
8278,-246114,-836096,8388607,6007644,-993996,-6638654,464293,810204
8279,-245842,-834482,8388607,6007644,-993898,-6638392,464024,809429
8280,-245809,-832987,8388607,6007641,-993877,-6638627,463763,809163
8281,-245861,-831478,8388607,6007646,-994047,-6638683,463324,808830
8282,-246055,-830104,8388607,6007594,-994233,-6638519,462759,808621
8283,-246233,-828774,8388607,6007598,-994318,-6638634,462273,808752
8284,-246346,-827442,8388607,6007745,-994310,-6639148,461898,808858
